exercise_no;name;beschreibung;image_patch;alter;ort;organisationsform;teil;gruppengrösse;schwerpunkt_technik;schwerpunkt_taktik;schwerpunkt_fitness;schwerpunkt_psycho_social;schwerpunkt_sdg;input;output;file_to_pdf
001;Seilbahn;God created pudding, and then he rested. I'm partial to air conditioning. I think he's got a crush on you, Dex! You look…perfect. You all right, Dexter?;/images/ex_001.jpg;3-5;Feld: Halber Platz;Viereck;Haupt: Spielform;11;Passen;Individualtaktik im Angriff: 1 vs. 1;Koordination;Sozial: Solidarität;SDG 11;Datensatz X;Aufwärm: allgemein;/pdf/ex_001.pdf
002;Artikel;I feel like a jigsaw puzzle missing a piece. And I'm not even sure what the picture should be. Hello, Dexter Morgan. You all right, Dexter? You all right, Dexter?;/images/ex_002.jpg;5-10;Feld: Ganzer Platz ;Parcours;Aufwärm: speziell;4-5;Köpfen;Gruppentaktik im Angriff: Angreifen ;Kraft;Persönlich: Anpassungsfähigkeit;SDG 8;Datensatz X;Aufwärm: speziell;/pdf/ex_002.pdf
003;Zoll;"'m thinking two circus clowns dancing. You? I'm a sociopath; there's not much he can do for me. I like seafood. I'm not the monster he wants me to be. So I'm neither man nor beast. I'm something new entirely. With my own set of rules. I'm Dexter. Boo.";/images/ex_003.jpg;3-5;Feld: Ganzer Platz ;Viereck;Aufwärm: allgemein;2-5;Dribbeln;Gruppentaktik in der Verteidigung: Ball erobern;Ausdauer;schwerpunkt_psycho_social;SDG 11;Aufwärm: allgemein;Haupt: Übung;/pdf/ex_003.pdf
004;Leitung;Oh I beg to differ, I think we have a lot to discuss. After all, you are a client. I'm going to tell you something that I've never told anyone before. I like seafood. I'm really more an apartment person.;/images/ex_004.jpg;18-20;Feld: Ganzer Platz ;Dreieck;Aufwärm: allgemein;11;Fintieren;Mannschaftstaktik im Angriff: Torchancen herausspielen;Koordination;Sozial: Konfliktfähigkeit;SDG 5;Aufwärm: speziell;Haupt: Spielform;/pdf/ex_004.pdf
005;Unterricht;I will not kill my sister. I will not kill my sister. I will not kill my sister. I'm doing mental jumping jacks. This man is a knight in shining armor. I'm going to tell you something that I've never told anyone before.;/images/ex_005.jpg;5-10;Feld: Viertel Platz ;Parcours;Aufwärm: speziell;5-11;Fintieren;Mannschaftstaktik in der Verteidigung: Umschalten;Ausdauer;Persönlich: Coping;SDG 16;Schluss: Spielform;Schluss: Spielform;/pdf/ex_005.pdf
006;Betriebshof;Rorschach would say you have a hard time relating to others. Somehow, I doubt that. You have a good heart, Dexter. Hello, Dexter Morgan. I'm generally confused most of the time.;/images/ex_006.jpg;3-5;Halle: Ganzer Platz ;Parcours;Aufwärm: allgemein;4-5;Passen;Gruppentaktik im Angriff: Angreifen ;Kraft;Sozial: Kooperation;SDG 3;Schluss: Spielform;Datensatz X;/pdf/ex_006.pdf
007;Preis;I am not a killer. Only you could make those words cute. I love Halloween. The one time of year when everyone wears a mask … not just me. Oh I beg to differ, I think we have a lot to discuss. After all, you are a client.;/images/ex_007.jpg;18-21;Halle: Ganzer Platz ;Viereck;Aufwärm: allgemein;11;Annahme;Mannschaftstaktik in der Verteidigung: Kompakt verteidigen;Schnelligkeit;Persönlich: Verantwortung;SDG 8;Datensatz X;Aufwärm: allgemein;/pdf/ex_007.pdf
008;Automobilindustrie;I think he's got a crush on you, Dex! I feel like a jigsaw puzzle missing a piece. And I'm not even sure what the picture should be. I think he's got a crush on you, Dex! I'm really more an apartment person.;/images/ex_008.jpg;18-22;Feld: Viertel Platz ;Parcours;Schluss: Spielform;2-5;Fintieren;Gruppentaktik im Angriff: Umschalten;Kraft;Persönlich: Kreativität;SDG 4;Datensatz X;Aufwärm: speziell;/pdf/ex_008.pdf
009;Hose;Only you could make those words cute. I'm Dexter, and I'm not sure what I am. God created pudding, and then he rested. God created pudding, and then he rested. Under normal circumstances, I'd take that as a compliment.;/images/ex_009.jpg;5-10;Feld: Ganzer Platz ;Dreieck;Schluss: Übung;11;Köpfen;Gruppentaktik im Angriff: Umschalten;Ausdauer;Persönlich: Verantwortung;SDG 11;Haupt: Übung;Haupt: Übung;/pdf/ex_009.pdf
010;Professor;"Only you could make those words cute. Rorschach would say you have a hard time relating to others. I'm doing mental jumping jacks. I'm a sociopath; there's not much he can do for me. I'm going to tell you something that I've never told anyone before.";/images/ex_010.jpg;5-10;Feld: Halber Platz;Viereck;Haupt: Spielform;11;Dribbeln;Mannschaftstaktik in der Verteidigung: Kompakt verteidigen;Schnelligkeit;Persönlich: Motivation;SDG 3;Aufwärm: speziell;Haupt: Spielform;/pdf/ex_010.pdf
